City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 1 hours),Snow inches (last 1 hours)
0,Penzance,GB,2020-07-12 16:38:01,50.12,-5.54,66.99,59,41,9.17,scattered clouds,0,0
1,Hobart,AU,2020-07-12 16:37:59,-42.88,147.33,39.0,93,90,10.29,overcast clouds,0,0
2,Busselton,AU,2020-07-12 16:38:21,-33.65,115.33,57.0,80,49,15.3,scattered clouds,0,0
3,Severo-Kurilsk,RU,2020-07-12 16:38:22,50.68,156.12,49.5,92,100,10.09,overcast clouds,0,0
4,Saint George,US,2020-07-12 16:36:14,37.1,-113.58,93.99,21,1,4.7,clear sky,0,0
5,Meulaboh,ID,2020-07-12 16:38:22,4.14,96.13,77.7,86,100,6.17,overcast clouds,0,0
6,Puerto Ayora,EC,2020-07-12 16:38:22,-0.74,-90.35,70.0,85,57,5.01,broken clouds,0,0
7,Airai,TL,2020-07-12 16:38:22,-8.93,125.41,56.53,100,94,4.03,overcast clouds,0,0
8,Ushuaia,AR,2020-07-12 16:36:44,-54.8,-68.3,35.6,80,40,19.46,scattered clouds,0,0
9,Punta Arenas,CL,2020-07-12 16:34:12,-53.15,-70.92,37.4,74,20,19.46,few clouds,0,0
10,Dicabisagan,PH,2020-07-12 16:38:22,17.08,122.42,79.74,82,100,3.58,light rain,0.37,0
11,Hithadhoo,MV,2020-07-12 16:38:22,-0.6,73.08,84.99,70,89,6.98,overcast clouds,0,0
12,Sholokhovskiy,RU,2020-07-12 16:38:22,48.28,41.05,76.08,63,20,17.38,light rain,0.19,0
13,Pangkalanbuun,ID,2020-07-12 16:38:23,-2.68,111.62,74.28,94,99,2.24,overcast clouds,0,0
14,Dingle,PH,2020-07-12 16:38:23,11.0,122.67,77.76,87,91,2.26,overcast clouds,0,0
15,Avarua,CK,2020-07-12 16:38:23,-21.21,-159.78,69.8,88,99,5.82,moderate rain,0,0
16,Torbay,CA,2020-07-12 16:38:23,47.67,-52.73,66.99,68,75,18.34,broken clouds,0,0
17,Mataura,NZ,2020-07-12 16:38:23,-46.19,168.86,39.0,83,74,3.0,broken clouds,0,0
18,Harper,LR,2020-07-12 16:38:23,4.38,-7.72,78.13,71,75,7.52,broken clouds,0,0
19,Constitucion,CL,2020-07-12 16:38:23,-35.33,-72.42,58.03,64,100,5.26,overcast clouds,0,0
20,Ocos,GT,2020-07-12 16:38:24,14.51,-92.19,86.0,79,5,4.7,clear sky,0,0
21,Ekhabi,RU,2020-07-12 16:38:24,53.51,142.97,48.11,96,59,2.08,broken clouds,0,0
22,Adelaide,AU,2020-07-12 16:35:20,-34.93,138.6,51.01,100,9,3.36,clear sky,0,0
23,Barrow,US,2020-07-12 16:35:04,71.29,-156.79,35.6,94,90,8.05,mist,0,0
24,Karratha,AU,2020-07-12 16:38:04,-20.74,116.85,63.82,28,0,11.43,clear sky,0,0
25,Saint-Georges,GD,2020-07-12 16:38:24,12.06,-61.75,86.0,74,40,19.46,scattered clouds,0,0
26,Nome,US,2020-07-12 16:38:24,64.5,-165.41,55.4,71,1,1.99,clear sky,0,0
27,Caldwell,US,2020-07-12 16:38:24,43.66,-116.69,73.99,35,1,9.17,clear sky,0,0
28,Podgornoye,RU,2020-07-12 16:38:25,51.73,39.15,84.2,25,0,6.71,clear sky,0,0
29,Port Hardy,CA,2020-07-12 16:38:25,50.7,-127.42,55.4,87,75,3.36,broken clouds,0,0
30,San Miguel,SV,2020-07-12 16:38:25,13.48,-88.18,87.8,55,14,6.93,few clouds,0,0
31,Rikitea,PF,2020-07-12 16:38:25,-23.12,-134.97,71.06,71,0,17.67,clear sky,0,0
32,Esperance,AU,2020-07-12 16:38:25,-33.87,121.9,50.0,61,58,19.46,broken clouds,0,0
33,Kaitangata,NZ,2020-07-12 16:38:25,-46.28,169.85,37.0,75,28,7.0,scattered clouds,0,0
34,Port Lincoln,AU,2020-07-12 16:38:25,-34.73,135.87,52.81,83,0,4.52,clear sky,0,0
35,Berlin,DE,2020-07-12 16:38:25,52.52,13.41,70.0,42,24,11.41,few clouds,0,0
36,Tiksi,RU,2020-07-12 16:38:26,71.69,128.87,57.67,91,57,5.66,broken clouds,0,0
37,Iqaluit,CA,2020-07-12 16:34:41,63.75,-68.51,59.0,62,75,20.8,broken clouds,0,0
38,Hermanus,ZA,2020-07-12 16:38:26,-34.42,19.23,59.0,58,0,10.0,clear sky,0,0
39,Chapais,CA,2020-07-12 16:38:26,49.78,-74.85,60.8,93,90,12.75,overcast clouds,0,0
40,Narsaq,GL,2020-07-12 16:38:26,60.92,-46.05,62.6,59,99,5.82,overcast clouds,0,0
41,Carnarvon,AU,2020-07-12 16:38:26,-24.87,113.63,55.4,100,0,8.05,clear sky,0,0
42,Yellowknife,CA,2020-07-12 16:36:02,62.46,-114.35,66.99,59,75,5.82,broken clouds,0,0
43,Amahai,ID,2020-07-12 16:38:26,-3.33,128.92,77.29,88,99,5.14,light rain,0.38,0
44,Kavieng,PG,2020-07-12 16:38:26,-2.57,150.8,82.26,71,100,4.09,overcast clouds,0,0
45,Jamestown,US,2020-07-12 16:38:26,42.1,-79.24,77.0,64,40,11.41,scattered clouds,0,0
46,Bengkulu,ID,2020-07-12 16:38:27,-3.8,102.27,75.9,90,100,3.8,overcast clouds,0,0
47,Port Alfred,ZA,2020-07-12 16:38:27,-33.59,26.89,60.19,50,0,20.54,clear sky,0,0
48,Chokurdakh,RU,2020-07-12 16:38:27,70.63,147.92,55.36,65,74,9.19,broken clouds,0,0
