City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Dicabisagan,PH,79.74,light rain,17.08,122.42,
12,Sholokhovskiy,RU,76.08,light rain,48.28,41.05,
43,Amahai,ID,77.29,light rain,-3.33,128.92,
66,Baoro,CF,73.76,light rain,5.67,15.97,
71,Zhob,PK,75.76,moderate rain,31.34,69.45,
78,Saint-Philippe,RE,69.8,light rain,-21.36,55.77,
85,Coari,BR,84.16,light rain,-4.08,-63.14,
86,Marawi,PH,75.99,light rain,8.0,124.29,
89,Kiunga,PG,72.45,moderate rain,-6.12,141.29,
99,Vanimo,PG,78.46,light rain,-2.67,141.3,
106,Odlabari,IN,78.37,light rain,26.83,88.62,
108,Kavaratti,IN,82.51,light rain,10.57,72.64,
110,Antalaha,MG,69.91,light rain,-14.9,50.28,
112,Bilibino,RU,58.24,light rain,68.05,166.44,
134,Perth,AU,60.01,light rain,-31.93,115.83,
139,Mitu,CO,73.18,light rain,1.2,-70.17,
143,San Pedro,PH,82.99,light rain,14.35,121.02,
147,Butaritari,KI,82.31,light rain,3.07,172.79,
151,Tarakan,ID,79.59,light rain,3.3,117.63,
158,Srivardhan,IN,81.84,light rain,18.03,73.02,
175,Boma,GH,77.32,light rain,7.08,-2.17,
178,Asau,RO,55.0,light rain,46.43,26.4,
197,Prado,BR,77.5,light rain,-17.34,-39.22,
201,Redmond,US,57.99,light rain,47.67,-122.12,
202,Akureyri,IS,57.2,light rain,65.68,-18.09,
217,Fare,PF,79.29,light rain,-16.7,-151.02,
221,Buala,SB,80.55,moderate rain,-8.14,159.59,
237,Santa Rosa,PH,82.99,light rain,14.31,121.11,
239,Sfantu Gheorghe,RO,61.0,light rain,45.87,25.78,
248,Synya,RU,57.45,light rain,65.37,58.04,
275,Monywa,MM,81.45,light rain,22.12,95.13,
287,Flinders,AU,52.0,moderate rain,-34.58,150.86,
290,Upata,VE,84.76,light rain,8.01,-62.4,
306,Tibati,CM,71.96,moderate rain,6.47,12.63,
307,Vershino-Darasunskiy,RU,57.97,light rain,52.35,115.52,
315,Khatanga,RU,52.29,light rain,71.97,102.5,
318,Pandan,PH,78.13,light rain,14.05,124.17,
341,Tomatlan,MX,86.95,light rain,19.93,-105.25,
345,Verkhnyaya Inta,RU,58.87,light rain,65.98,60.31,
347,Varhaug,NO,54.0,light rain,58.61,5.65,
352,Kiama,AU,52.0,light rain,-34.68,150.87,
362,Teknaf,BD,80.73,light rain,20.86,92.31,
365,Chizhou,CN,74.01,light rain,30.66,117.48,
370,Yambio,SS,71.64,light rain,4.57,28.4,
372,Mangai,CD,82.22,light rain,-4.05,19.53,
374,Sinnamary,GF,81.91,light rain,5.38,-52.95,
380,Sanjwal,PK,86.0,light rain,33.76,72.43,
393,Catia La Mar,VE,79.0,moderate rain,10.6,-67.03,
394,Sujiatun,CN,71.6,light rain,41.66,123.34,
412,Rucheng,CN,86.0,light rain,32.39,120.56,
413,Stara Synyava,UA,51.06,moderate rain,49.6,27.62,
414,Qaqortoq,GL,62.6,light rain,60.72,-46.03,
416,Tevaitoa,PF,79.32,light rain,-16.78,-151.5,
421,Totness,SR,82.49,light rain,5.88,-56.32,
422,Mikhaylovka,RU,84.0,moderate rain,50.06,43.24,
426,Daru,PG,77.18,moderate rain,-9.08,143.21,
428,Priargunsk,RU,65.39,light rain,50.37,119.1,
438,Mbini,GQ,77.23,light rain,1.57,9.61,
443,Piacabucu,BR,78.3,light rain,-10.41,-36.43,
446,Channel-Port Aux Basques,CA,61.45,light rain,47.57,-59.14,
460,Bijie,CN,65.46,moderate rain,27.31,105.29,
467,Saint-Augustin,CA,61.03,light rain,51.23,-58.65,
488,Baglung,NP,71.64,light rain,28.27,83.59,
491,Tezu,IN,76.3,light rain,27.92,96.17,
496,Ishurdi,BD,80.35,light rain,24.13,89.08,
505,Boditi,ET,59.22,light rain,6.97,37.87,
511,Saint-Pierre,RE,68.0,light rain,-21.34,55.48,
543,Wewak,PG,79.0,light rain,-3.55,143.63,
548,Maryborough,AU,63.0,light rain,-25.53,152.7,
